name,phone,whatsapp,address,district,districtCn,website,facebook,instagram,services,notes,rating,isVerified,isActive
"寵之洗","98486799","","何文田亞皆老街118-120A號利寶大廈地舖","Kowloon City","九龍城","","https://www.facebook.com/PetWashingHK/","https://www.instagram.com/petwashing_mk/","","",0,false,true
"Tinja Pets Beauty (Prince Edward)","90180638","","深水埗西洋菜北街213號騏昌大廈7B","Others","","","","","","",0,false,true
"Wonder Pet","98580518","","啟德新區沐泰街7號1座G樓2鋪","Kowloon City","九龍城","","https://www.facebook.com/TinjaPetsBeauty/","","","",0,false,true
"IPET SHOP - 寵物美容服務 | 寵物酒店服務 (太子)","23012309","","深水埗福華街17-25號福昇大廈地下1號舖","Yau Tsim Mong","油尖旺","","https://www.facebook.com/Ipetshop/?locale=zh_HK","https://www.instagram.com/ipet_shop_hk/","","",0,false,true
"I Love Pet Pet (土瓜灣總店)","26270777","","馬頭角土瓜灣道373號","Kowloon City","九龍城","","","https://www.instagram.com/explore/locations/40648417/i-love-pet-pet/","","",0,false,true
"犬寶寶寵物美容","28121618","","土瓜灣譚公道98號","Kowloon City","九龍城","","","","","",0,false,true
"TGIF Pet Salon","69911784","","土瓜灣美景街53號號c","Kowloon City","九龍城","","https://www.facebook.com/TGIFpetsalon/","https://www.instagram.com/explore/locations/1757718587874903/tgif-pet-salon/","","",0,false,true
"Meow Me Diary","96339323","","佐敦上海街62號AVA1樓","Yau Tsim Mong","油尖旺","","https://www.instagram.com/meowmediary/","https://www.facebook.com/meowmediary/","","",0,false,true
"Pettoland","23960100","","長沙灣青山道201號青薈一樓","Sham Shui Po","深水埗","","https://www.instagram.com/petpettoland/","https://www.facebook.com/hqdoggieland/?locale=zh_HK","","",0,false,true
"Ago's grooming (上門)","61394997","","何文田勝利道","Kowloon City","九龍城","","https://www.instagram.com/groomerago/?locale=pl&hl=am-et","https://www.facebook.com/agosgrooming/?locale=zh_HK","","",0,false,true
"老友狗狗寵物美容中心","31040399","","塘尾鴨寮街7號","Sham Shui Po","深水埗","","https://www.facebook.com/dogsbuddy6199/","https://www.instagram.com/dogs_buddy_grooming_centre/","","",0,false,true
"Dogotel & Spa - Boutique","27110019","","何文田窩打老道79D號怡安閣地下2號舖","Kowloon City","九龍城","","https://www.instagram.com/dogotel/","https://www.facebook.com/DOGOTELnSPA/?locale=zh_HK","","",0,false,true
"Pet Line 寵寵線 (佐敦店 - 設美容服務)","23233280","","佐敦柯士甸道107-109號好安樓地下D號舖","Others","","","","https://www.facebook.com/petline.petline/?locale=zh_HK","","",0,false,true
"Pet Villa HMT","98205202","","何文田自由道11號","Kowloon City","九龍城","","https://www.instagram.com/petvilla_hk/","https://www.facebook.com/PetVillahk/","","",0,false,true
"茶犬舍","66001330","","土瓜灣馬頭角道9號1樓","Kowloon City","九龍城","","https://www.instagram.com/teadoghouse/","https://www.facebook.com/teadoghouse","","",0,false,true
"The Barking Barber HK","52201135","","大角咀必發道138號","Kowloon City","九龍城","","https://www.instagram.com/barkingbarberhk/","https://www.facebook.com/thebarkingbarbers/","","",0,false,true
"寵伴工房 Mate Pet Kobo","61999615","","深水埗南昌街69號閣樓","Yau Tsim Mong","油尖旺","","https://www.instagram.com/matepetkobo/","https://www.facebook.com/%E5%AF%B5%E4%BC%B4%E5%B7%A5%E6%88%BFMate-Pet-Kobo-102050599056707/","","",0,false,true
"犬工房","22467117","","何文田太平道11號","Kowloon City","九龍城","","https://www.instagram.com/explore/locations/603390158/dogroom-quan-gong-fang/","https://www.facebook.com/dogroomhk/?locale=zh_HK","","",0,false,true
"新時尚寵物專業美容","27609112","","九龍何文田勝利道9號凱旋居地下","Kowloon City","九龍城","","","","","",0,false,true
"A+寵物專門店","27116909","","何文田自由道11號5號舖","Kowloon City","九龍城","","https://www.instagram.com/petamooo/p/C5xpptYL0sf/","https://www.facebook.com/photo.php?fbid=835556275258610&id=100064127346103&set=a.645155927631980","","",0,false,true
"狗蚊店","64666166","","尖沙咀山林道No.39號","Yau Tsim Mong","油尖旺","","https://www.instagram.com/dogdollarshop/","https://www.facebook.com/dogdollarshop/?locale=zh_HK","","",0,false,true
"Dog Romance","23830003","","九龍城啓德道35號","Kowloon City","九龍城","","https://www.instagram.com/dogromance88/","https://www.facebook.com/Dog-Romance-176529685748083/","","",0,false,true
"寵物美容工作室 Beauty Pet Studio","61122899","","土瓜灣美光街13號","Kowloon City","九龍城","","","http://www.facebook.com/beauty.pet.studio","","",0,false,true
"Cutie pets store","98017808","","土瓜灣明倫街4號A","Kowloon City","九龍城","","https://www.instagram.com/cutiepetsstorehk/","https://www.facebook.com/cutiepetsstore/","","",0,false,true
"Good Grooming","51988702","","北角北角匯一期一樓102舖","Others","","","https://www.instagram.com/goodgrooming/","https://www.facebook.com/goodgroominghk/?locale=zh_HK","","",0,false,true
"PRIVATE i Concept Store","25772239","","銅鑼灣加寧街10號一樓","Others","","","https://www.instagram.com/explore/locations/103406238533407/private-i-concept-store/","https://www.facebook.com/PRIVATEiConceptStore/?locale=zh_HK","","",0,false,true
